category,category_label,agencyId,eligibilityId,program,agency,bureau,funding_amt,funding_amt_notes,period_of_availability,funding_type,newprogram_yes_no,eligibility,description,eligible_uses,application,next_milestone,link,coverage,tribal_eligibility
energy,Clean Energy and Energy Efficiency,dhs,".biz, .ed, .research",Explosives Threat Assessment,Department of Homeland Security,Science and Technology,"$2,800,000",,Five Year,Contract,No,"May include but not limited to: Academia/Centers of Excellence, Industry (Small Business Innovation Research), Department of Energy National Labs, and Federal Funded Research and Development Centers.   ","This program researches and identifies current and potential explosive threats to understand the risk posed to the United States, strengthens aviation security by bolstering the international aviation security system, improves security processes and technologies, and encourages partnerships with industry.","Public safety and violence prevention to evaluate ”soft target” security, including countering improvised explosive device events and protection of U.S. critical infrastructure.",,"Research, Development, Test, and Evaluation efforts are ongoing in Q1 2023",https://www.dhs.gov/science-and-technology/explosives-threat-assessment,BIL,
climate,Climate Change,dhs,".tribal, .stateGov, .localGov",Building Resilient Infrastructure and Communities (Robert T Stafford Act Section 203(i)),Department of Homeland Security,Federal Emergency Management Agency,"$1,000,000,000",,Available for the next 5 fiscal years in tranches of $200 million per fiscal year,Grant,No,"States, local, Tribal, and territorial governments","The Building Resilient Infrastructure and Communities program makes Federal funds available to States, U.S territories, Federally recognized Tribal governments, and local communities for hazard mitigation activities.","Federal Emergency Management Agency will provide financial assistance to eligible Building Resilient Infrastructure and Communities applicants for the following activities: Capability and Capacity-Building – Activities, which enhance the knowledge, skills, expertise, etc., of the current workforce to expand or improve the administration of mitigation assistance. This includes activities in the following sub-categories: building codes activities, partnerships, project scoping, mitigation planning and planning-related activities, and other activities; Mitigation Projects – Cost-effective projects designed to increase resilience and public safety; reduce injuries and loss of life; and reduce damage and destruction to property, critical services, facilities, and infrastructure from natural hazards and the effects of climate change; and Management Costs – Financial assistance to reimburse the recipient and subrecipient for eligible and reasonable indirect costs, direct administrative costs, and other administrative expenses associated with a specific mitigation measure or project in an amount up to 15 percent of the total amount of the grant award, of which not more than 10 percent of the total award amount may be used by the recipient and 5 percent by the subrecipient for such costs generally.",,Funding Opportunity Closed in January 2023,https://sam.gov/fal/38ec09996cc7434494d187b25d7717f7/view,BIL,
climate,Climate Change,dhs,".tribal, .stateGov, .localGov",Flood Mitigation Assistance Grants (National Flood Insurance Act Sec 1366),Department of Homeland Security,Federal Emergency Management Agency,"$3,500,000,000",,Available for the next 5 fiscal years in tranches of $700 million per fiscal year,Grant,No,"States, local, Tribal, territorial governments, and local communities","The Flood Mitigation Assistance program makes Federal funds available to States, U.S. territories, Federally recognized Tribal governments, and local communities to reduce or eliminate the risk of repetitive flood damage to buildings and structures.","These grants are focused on projects that reduce flood risks posed to repetitively flooded properties insured under the National Flood Insurance Program. The Federal Emergency Management Agency is distributing the fiscal year 2021 Flood Mitigation Assistance funding amount as follows: Project scoping (previously advance assistance) to develop community flood mitigation projects and/or individual flood mitigation projects that will subsequently reduce flood claims against the National Flood Insurance Program. Projects that address community flood risk for the purpose of reducing National Flood Insurance Program flood claim payments. Technical assistance to maintain a viable Flood Mitigation Assistance program over time. Planning sub-applications for the flood hazard component of State, Local, Territory, and Tribal Hazard Mitigation Plans and plan updates.",,Funding Opportunity Closed in January 2023,https://sam.gov/fal/c49f9dee049443a8881024f3172932af/view,BIL,
energy,Clean Energy and Energy Efficiency,hud,.other,Green and Resilient Retrofit Program - Elements Cohort,Department of Housing and Urban Development,"Office of Housing, Multifamily Housing, Office of Recapitalization","$140,000,000 ",,"Funds for grants and direct loans available until September 30, 2028. Four application waves: June 2023, September 2023, January 2024, March 2024. ","Competitive grants, loans",New,HUD-assisted Multifamily properties (see Section 3 of the Elements NOFO for the complete list) with a materially advanced recapitalization effort underway.,"To provide gap funding to HUD-assisted multifamily housing properties in the midst of a recapitalization transaction that includes utility efficiency, renewable energy, carbon emission reduction, and/or climate resilience measures. ",GRRP will provide up to $750k per property or $40k per unit for construction and transaction costs to incorporate the selected Elements investments into the recapitalization. Owners are responsible for the balance of costs.,,,https://sam.gov/fal/e77f90c0aa39462790d04fb1f6a84510/view,IRA,Yes
energy,Clean Energy and Energy Efficiency,hud,.other,Green and Resilient Retrofit Program - Leading Edge Cohort,Department of Housing and Urban Development,"Office of Housing, Multifamily Housing, Office of Recapitalization","$400,000,000 ",,"Funds for grants and direct loans available until September 30, 2028. Four application waves: July 2023, October 2023, January 2024, April 2024. ","Competitive grants, loans",New,HUD-assisted Multifamily properties (see Section 3 of the Leading Edge NOFO for the complete list) that can commit to achieving an advanced green certification.,"To provide funding to owners of HUD-assisted multifamily housing properties with ambitious plans involving carbon reduction, renewable energy generation, use of building materials with lower embodied carbon, and resilience goals through achieving an advanced green certification. ",GRRP will provide up to $10 million per property or $60k per unit for construction and transaction costs associated with achieving the qualifying green certification. Owners are responsible for the balance of rehab costs.,,,https://sam.gov/fal/e77f90c0aa39462790d04fb1f6a84510/view,IRA,Yes
energy,Clean Energy and Energy Efficiency,hud,.other,Green and Resilient Retrofit Program - Comprehensive Cohort,Department of Housing and Urban Development,"Office of Housing, Multifamily Housing, Office of Recapitalization","$1,470,000,000 ",,"Funds for grants and direct loans available until September 30, 2028. Four application waves: August 2023, November 2023, February 2024, May 2024. ","Competitive grants, loans",New,HUD-assisted Multifamily properties (see Section 3 of the Comprehensive NOFO for the complete list) in need of rehab.,"To provide funding to properties with a high need for investment in utility efficiency and climate resilience. Property owners need no prior experience with recapitalization transactions or green construction, as support will be provided to commission assessments and develop the property’s recapitalization plan.","GRRP will provide up to $20 million per property or $80k per unit to cover: (1) Added cost of a greener or more resilient alternative to a rehab component (for example, heat exchangers instead of a standard boiler); (2) 50% of the GRRP Award is reserved for the cost of high impact utility efficiency, carbon reduction, renewable energy generation, and climate resilient investments (for example, solar or wind power); (3) Transaction costs necessary to complete retrofit (up to 30% of the GRRP award).",,,https://sam.gov/fal/e77f90c0aa39462790d04fb1f6a84510/view,IRA,Yes
transportation,Clean Transportation,hud,.other,Green and Resilient Retrofit Program - Contracts and Cooperative Agreements,Department of Housing and Urban Development,"Office of Housing, Multifamily Housing, Office of Recapitalization","$60,000,000 ",,"Until September 30, 2029","Contracts, cooperative agreements",New,N/A,To cover expenses of contracts or cooperative agreements administered by the Secretary for the purpose of implementing the Green and Resilient Retrofit Program.,Contracts or cooperative agreements involved in implementation of the program.,,,TBD,IRA,No
water,Critical clean water and wastewater infrastructure,hud,.stateGov,Green and Resilient Retrofit Program - Benchmarking,Department of Housing and Urban Development,"Office of Housing, Multifamily Housing, Office of Asset Management","$42,500,000 ",,"Until September 30, 2028",Federally-funded third party contract support,New,"Owner or sponsor of properties assisted pursuant to section 202 of the Housing Act of 1959, section 202 of the Housing Act of 1959 as such section existed before the enactment of the Cranston-Gonzalez National Affordable Housing Act, section 811 of the Cranston-Gonzalez National Affordable Housing Act, section 8(b) of the United States Housing Act of 1937, section 236 of the National Housing Act, or a Housing Assistance Payments contract for Project-Based Rental Assistance in fiscal year 2021.","To conduct energy and water benchmarking of HUD-assisted properties, provide associated data analysis and evaluation at the property and portfolio level, and develop information technology systems necessary for the collection, evaluation, and analysis of such data.","Energy and water benchmarking, along with associated data analysis and evaluation at the property and portfolio level, and the development of information technology systems necessary for the collection, evaluation, and analysis of such data.",,,TBD,IRA,Yes
water,Critical clean water and wastewater infrastructure,doi,".tribal, .localGov",Rural Water Projects,Department of the Interior,Bureau of Reclamation,"$1,000,000,000",,Available until expended,Project Funding,No,"Existing authorized projects - not for new opportunities - Tribal, Local","Funding for Rural Water will support the seven rural water projects that have been authorized by an Act of Congress before July 1, 2021, in accordance with the Reclamation Rural Water Supply Act of 2006 (43 U.S.C. 2401 et seq.).",Rural Water projects,,Spend Plan Addendum published Feb/2023,https://sam.gov/search/?index=cfda&page=1&pageSize=25&sort=-modifiedDate&sfm%5BsimpleSearch%5D%5BkeywordRadio%5D=ANY&sfm%5BsimpleSearch%5D%5BkeywordTags%5D%5B0%5D%5Bkey%5D=%2215.516%2015.520%2015.522%2015.548%2015.553%2015.558%22&sfm%5BsimpleSearch%5D%5BkeywordTags%5D%5B0%5D%5Bvalue%5D=%2215.516%2015.520%2015.522%2015.548%2015.553%2015.558%22&sfm%5Bstatus%5D%5Bis_active%5D=true,BIL,
energy,Clean Energy and Energy Efficiency,doi,.other,Aging Infrastructure Account,Department of the Interior,Bureau of Reclamation,"$3,200,000,000",,Available until expended,Spend Plan/Application,"No, however, the Authority and funding expanded in Bipartisan Infrastructure Law","Transferred Works Operators and Reserved works Project beneficiaries (districts, power customers, cost share partners)",The Aging Infrastructure/Extraordinary Maintenance authority is used to fund extraordinary maintenance work on Reclamation project facilities.,"Repair, rehabilitation and maintenance of infrastructure assets for reserved or transferred works",,To be determined,https://www.usbr.gov/bil/,BIL,
water,Critical clean water and wastewater infrastructure,doi,".stateGov, .localGov","Water & Groundwater Storage, And Conveyance",Department of the Interior,Bureau of Reclamation,"$1,150,000,000",,Available until expended,"Direct Federal Spending, financial assistance","No, however, the Authority and funding expanded in the Bipartisan Infrastructure Law","State, Local","Water Storage, Groundwater Storage, and Conveyance projects with existing feasibility study or construction authorization are eligible for funding. The project must be found feasible and with benefits proportionate to Federal investment. Small Water Storage and Groundwater Storage Projects are defined in the Bipartisan Infrastructure Law as projects that have storage capacity between 2,000 acre-feet and 30,000 acre-feet and increase surface water or groundwater storage or convey water, directly or indirectly, to or from surface water or groundwater storage. Funding will be provided through a combination of internal formulation and competitive grant processes, and non-Federal project sponsors in Reclamation States, including Alaska and Hawaii are eligible.",Construction and grants,,Spend plan addendum,https://sam.gov/fal/79d30e3761554cd1bc6ecfd4ad1664f4/view,BIL,
pollution,Remediation and reduction of legacy pollution,doi,".stateGov, .localGov",Dam Safety Program,Department of the Interior,Bureau of Reclamation,"$500,000,000",,Available until expended,Direct Federal Spending,No,"State, Local","Reclamation's Dam Safety Program is in place to ensure Reclamation dams do not present unreasonable risk to people, property, and the environment.",Project work at identified dams needing corrective action to reduce risk,,No new allocations planned in 2023,https://www.usbr.gov/damsafety/funding.html,BIL,
climate,Climate Change,doi,.other,Colorado River Endangered Species Recovery and Conservation Programs,Department of the Interior,Bureau of Reclamation,"$50,000,000",,Available until expended,Financial Assistance,No,Open,The Colorado River Basin Endangered Species and Conservation programs support the Upper Colorado River Endangered Fish and San Juan River Basin Recovery Implementation Programs and the Glen Canyon Dam Adaptive Management Program in the Upper Colorado Basin.,Endangered Species Act actions in Colorado River Basin,,Spend Plan Addendum published Jan/2023; no new funding opportunities for FY23,https://sam.gov/fal/6b069a9cae5b40a3b850f44c888032aa/view,BIL,
water,Critical clean water and wastewater infrastructure,doi,.other,Water Desalination Projects,Department of the Interior,Bureau of Reclamation,"$250,000,000",,Available until expended,Financial Assistance,No,Open,Water desalination projects support desalination of ocean or brackish water.,Water desalination projects,,First Round of Funding Allocated / Selections Announced in April 2023,https://sam.gov/fal/81d358d9f74f4038be8378872144d391/view,BIL,
water,Critical clean water and wastewater infrastructure,doi,.other,Water Recycling,Department of the Interior,Bureau of Reclamation,"$1,000,000,000",,Available until expended,"Grant, Financial Assistance","No, however, the Authority and funding expanded in the Bipartisan Infrastructure Law",Open,"Projects that reclaim and/or reuse municipal, industrial, and agricultural wastewater; or impaired ground and surface waters. Large Scale Water Recycling Program is defined in the Bipartisan Infrastructure Law as projects that reclaim and reuse municipal, industrial, domestic, or agricultural wastewater; or impaired groundwater or surface water with a total project cost of $500 million or more and located in a Reclamation State.",Water recycling and reuse projects and large water reuse projects in Reclamation States,,NOFO Open in June 2023,https://sam.gov/fal/79d30e3761554cd1bc6ecfd4ad1664f4/view,BIL,
water,Critical clean water and wastewater infrastructure,doi,.other,Watershed Management Projects,Department of the Interior,Bureau of Reclamation,"$100,000,000",,Available until expended,Financial Assistance,Yes,Open - must meet funding opportunity criteria,"Watershed management includes water conservation and efficiency projects that increase reliability for ecological value, improvements to mitigate drought-related impacts to ecological values, and projects that improve the condition of a natural feature or nature-based feature.","Watershed management activities that include water conservation and efficiency projects that increase reliability for ecological value, improvements to mitigate drought-related impacts to ecological values, and projects that improve the condition of a natural feature or nature-based feature.",,Only Round of Funding Allocated / Selections Announced in September 2023,https://www.usbr.gov/watersmart/cwmp/,BIL,
water,Critical clean water and wastewater infrastructure,doi,.other,WaterSMART Grants,Department of the Interior,Bureau of Reclamation,"$400,000,000",,Available until expended,Grant,No,Open - meet criteria for Grant Opportunity,"This funding will be used for competitive grants through WaterSMART under the authority of Sec. 9504(a) of the SECURE Water Act for water management improvements that contribute to water supply sustainability, increase drought resilience, and that have environmental benefits.","Grant projects that support water management improvements that contribute to water supply sustainability, increase drought resilience, and that have environmental benefits",,Additional Round of Funding Allocated / Selections Announced in April 2023,https://sam.gov/fal/2cb52a5a46d44c9086567e1d6927a096/view,BIL,
water,Critical clean water and wastewater infrastructure,doi,.other,Aquatic Ecosystem Restoration And Protection Projects,Department of the Interior,Bureau of Reclamation,"$250,000,000",,Available until expended,"Grant, Direct Federal Spending",Yes,Open,"The Aquatic Ecosystem restoration program is a new program currently under development. This funding will support design, study and construction of aquatic ecosystem restoration and protection projects.","Projects that improve the health of fisheries, wildlife or aquatic habitat, including through habitat restoration, and improved fish passage through the removal or bypass of barriers to fish passage.",,Funding Opportunity Closed in June 2023,https://www.usbr.gov/watersmart/aquatic/index.html,BIL,
water,Critical clean water and wastewater infrastructure,doi,.other,Multi-Benefit Projects To Improve Watershed Health,Department of the Interior,Bureau of Reclamation,"$100,000,000",,Available until expended,Financial Assistance,Yes,Open,Implementation of this new authority for funding of Multi-benefit Habitat projects to improve watershed health is currently under development. This funding will be allocated to projects that support habitat restoration and watershed health in basins impacted by a Reclamation project.,"Habitat restoration, and improvement of watershed health in basins impacted by a Reclamation project",,First Round of Funding Allocated / Selections Announced in September 2023,https://www.usbr.gov/watersmart/ewrp/index.html,BIL,
water,Critical clean water and wastewater infrastructure,doi,.other,Central Utah Project,Department of the Interior,Central Utah Project,"$50,000,000",,Available until expended,Direct Federal Spending,No,"Central Utah Water Conservancy District, Utah Reclamation Mitigation and Conservation Commission","Funding will be used to continue construction of the Utah Lake System Pipeline to deliver 30,000 acre-feet of water to the communities in South Utah County, continued construction of a water flow control structure at Sixth Water on the Diamond Fork System to allow for minimum stream flows for fishery purposes, and continued development of the Provo River Delta Restoration Project for habitat development for the threatened June sucker fish.",Funding will be transferred to and be used by the Central Utah Water Conservancy District and the Utah Reclamation Mitigation and Conservation Commission.,,To be determined,https://artsandmuseums.utah.gov/project-grants/,BIL,
pollution,Remediation and reduction of legacy pollution,doi,".stateGov, .tribal","Orphaned Well Site Plugging, Remediation, And Restoration",Department of the Interior,Department-Wide Programs,"$4,677,000,000",,"Through September 30, 2030, for individual grant programs, though overall appropriation is available until expended.","Direct Federal Spending, Grants to States and Tribes, technical assistance Funding to InterState Oil and Gas Compact Commission.",Yes,"Federal, State, Tribal","Funding to administer a program for plugging wells on Federal land, and for issuing grants to States and Tribes on State, private, and Tribal land. Grants to States are available through three separate programs. Initial Grants: Either $5 million or up to $25 million to each qualifying State that applies before May 14, 2022. Funding unobligated after 1 year must be returned. Formula Grants: $2 billion in total funding available to States that submitted a Notice of Intent to the Department of the Interior by December 30, 2021. The amount each State is eligible for under this program is determined by formula. Funding unobligated after 5 years must be returned. Performance Grants: $1.5 billion in discretionary grants to States that increase their own spending on well plugging, remediation, and reclamation, or improve the regulation of oil and gas wells within the State.","Inventory, site characterization, down-hole well plugging, surface remediation, removal of surface equipment, restoration of native species habitat impacted by orphaned wells and associated infrastructure, measurement and tracking of air and water pollution due to orphaned wells, and identification and remediation of disproportionate health and environmental impacts of orphaned wells on communities of color, low-income communities, and Tribal and indigenous communities.",,Guidance Released in June 2023,https://sam.gov/fal/9b70b4be82234cb881078f4c3d47ef6b/view,BIL,
climate,Climate Change,doi,.other,Ecosystem - Delaware River Basin Conservation Act,Department of the Interior,United States Fish and Wildlife Service,"$26,000,000",,Available until expended,Grant,No,Open,"The Delaware River Basin program provides competitive matching grants for habitat conservation to State and local governments, nonprofit organizations, institutions of higher education, and other eligible entities in the Delaware River Basin.","Funds will be distributed through a combination of competitive contracts, Tribal grants and other grants, and cooperative agreements.",,Only Round of Funding Allocated / Selections Announced in August 2023,https://www.fws.gov/program/delaware-river-basin-restoration,BIL,
water,Critical clean water and wastewater infrastructure,doi,.other,Ecosystem - Fish Passage,Department of the Interior,United States Fish and Wildlife Service,"$200,000,000",,Available until expended,"Grant, Direct Federal Spending",No,Open,For the removal of barriers and for technical assistance under the National Fish Passage Program. The National Fish Passage Program is an existing program that relies on a network of U.S. Fish and Wildlife Service biologists and engineers stationed throughout the country.,"Funds will be distributed through a combination of competitive contracts, Tribal grants and other grants, and cooperative agreements.",,FY23 Project Selection Announcement occurred in April 2023,https://sam.gov/fal/b91c80ff49584d2c8a4ec459e0b4de4f/view,BIL,
water,Critical clean water and wastewater infrastructure,doi,.other,Ecosystem - Klamath Basin,Department of the Interior,United States Fish and Wildlife Service,"$162,000,000",,Available until expended,"Cooperative Agreement, Direct Federal Spending",No,Open,"Funding provided will be allocated for habitat restoration and water right acquisition to help restore the Klamath ecosystem, as well as for enhanced hatchery production of listed Klamath species (Lost River and shortnose suckers).","Funds will be distributed through a combination of competitive contracts, Tribal grants and other grants, and cooperative agreements.",,Funding Opportunity Closed in July 2023,https://www.fws.gov/program/klamath-basin-project-awards,BIL,
water,Critical clean water and wastewater infrastructure,doi,.other,Ecosystem - Lake Tahoe,Department of the Interior,United States Fish and Wildlife Service,"$17,000,000",,Available until expended,Grant,No,Open,To deploy strategies consistent with the Lake Tahoe Aquatic Invasive Species Management Plan to prevent the introduction or spread of aquatic invasive species in the Lake Tahoe region.,Projects that support invasive species control.,,Only Round of Funding Allocated / Selections Announced in September 2023,https://www.fws.gov/press-release/2022-07/bipartisan-infrastructure-law-funds-lake-tahoe-aquatic-invasive-species,BIL,
water,Critical clean water and wastewater infrastructure,doi,.other,Ecosystem - Sagebrush-Steppe,Department of the Interior,United States Fish and Wildlife Service,"$50,000,000",,Available until expended,"Grant, Cooperative Agreement, Direct Federal Spending",No,Open,"To conserve the sagebrush ecosystem of the American West and the nationally-significant biological, cultural and economic resources it supports.","Funds will be distributed through a combination of competitive contracts, Tribal grants and other grants, and cooperative agreements.",,FY23 Project Selection Announcement occurred in November 2022,https://www.fws.gov/program/sagebrush-conservation,BIL,
water,Critical clean water and wastewater infrastructure,doi,.tribal,"Safety of Dams, Water Sanitation, And Other Facilities",Department of the Interior,Bureau of Indian Affairs,"$200,000,000",,Available until expended,Contract/Compact,No,Tribal Governments - Recognized,The Bureau of Indian Affairs Safety of Dams aims to reduce the potential loss of human life and property damage caused by dam failure by making Bureau of Indian Affairs dams as safe as practically possible. Safety of Dams is responsible for dams on Indian land. These dams form a significant part of the water-resources infrastructure on Indian reservations. The water sanitation and safety program supports improvement and repair projects that address public health and safety compliance issues at Bureau of Indian Affairs-owned drinking water and sanitation systems.,"Safety of Dams funding is planned to be used to accelerate rehabilitation activities using current prioritization methodology. Water sanitation funds will address deferred maintenance and deficiencies identified in condition assessments, environmental health reviews and audit reports.",,Additional Round of Funding Allocated / Selections Announced in April 2023,http://www.doi.gov/pressreleases/biden-harris-administration-announces-48-million-water-sanitation-irrigation-power-and,BIL,
water,Critical clean water and wastewater infrastructure,doi,.tribal,Tribal Irrigation and Power Systems,Department of the Interior,Bureau of Indian Affairs,"$50,000,000",,Available until expended,Contract/Compact,No,Tribal Governments - Recognized,"The program addresses deferred maintenance needs at 17 congressionally authorized irrigation projects located on Indian reservations across the Rocky Mountain, Northwest, Southwest, Navajo and Western Regions.",Address deferred maintenance and deficiencies identified in condition assessments and audit reports.,,Additional Round of Funding Allocated / Selections Announced in April 2023,https://www.bia.gov/bia/ots/dwp/bip,BIL,
climate,Climate Change,doi,.tribal,Tribal Climate Resilience - Adaptation Planning,Department of the Interior,Bureau of Indian Affairs,"$86,000,000",,Available until expended,Contract/Compact,No,Tribal Governments - Recognized,"Tribal Climate Adaptation programs provide support for climate resilient planning to help sustain Tribal ecosystems and natural and cultural resources, economies, infrastructure, human health, and safety.","Funds may be used for trainings and workshops, vulnerability and risk assessment, supplementary monitoring for climate-related decision-making, scoping efforts, adaptation planning, travel support, ocean and coastal management planning, capacity building for adaptation planning, relocation, managed retreat, or protect-in-place assessment, planning, and design; and internships and youth engagement. Funding is not for routine monitoring programs or research.",,NOFO Open in June 2023,https://www.bia.gov/bia/ots/tcr,BIL,
climate,Climate Change,doi,.tribal,Tribal Climate Resilience - Community Relocation,Department of the Interior,Bureau of Indian Affairs,"$130,000,000",,Available until expended,Contract/Compact,Yes,Tribal Governments - Recognized,"Implementation of Community Relocation, Managed Retreat, or Protect-in-Place Actions to increase climate resilience.","Funds are designed to support Tribes facing questions and decisions regarding managed retreat, expansion, protect-in-place, and relocation options due to threats from intensifying coastal or riverine erosion, flooding and permafrost degradation impacts, sea level rise, and other impacts. Assessment, monitoring, planning, design, and implementation (of actions identified in existing planning documents or with appropriate baseline data) are allowable. Activities should address climate change impacts which affect the viability of infrastructure and other resources at risk. Examples of planning activities can include vulnerability and risk assessments, design of expansion, protect-in-place or relocation activities; analysis of options; development of Tribal community mitigation efforts; design of emergency drills and exercises, and more.",,To be determined,https://www.bia.gov/bia/ots/tcr,BIL,
water,Critical clean water and wastewater infrastructure,doi,.tribal,Indian Water Rights Settlements,Department of the Interior,Bureau of Indian Affairs,"$2,500,000,000",,Available until expended,Contract/Compact/Trust Fund,No,Tribal Governments - Recognized,"To satisfy Federal obligations under Indian water rights settlement enacted as of November 15, 2021.","Transfer to funds or accounts authorized to receive discretionary appropriations or to satisfy other obligations identified by the Secretary of the Interior, under an Indian water settlement approved and authorized by an Act of Congress before the date of enactment of this Act.",,FY23 funding announced in February 2023,https://www.bia.gov/service/indian-water-rights-settlements,BIL,
pollution,Remediation and reduction of legacy pollution,doi,".stateGov, .tribal",Abandoned Mine Reclamation Fund,Department of the Interior,Office of Surface Mining Reclamation and Enforcement,"$11,293,000,000",,Funding available until expended. Available in fiscal year 2022 and distributed to States & Tribes on an equal annual basis over 15 years.,Grant,No,States and Tribes,Funding to administer a program to provide grants to eligible States and Tribes to clean up abandoned coal mine sites and related problems.,"Cleaning up abandoned coal mine sites and related problems, as specified in the Bipartisan Infrastructure Law, that pose a threat to public health and safety; restoring land and water resources degraded by the effects of past coal mining; and addressing emergency projects. Those sites and related problems must be entered into the Office of Surface Mining and Reclamation’s abandoned mine land inventory system and be associated with a coal mine that was abandoned prior to August 3, 1977. Unlike traditional Abandoned Mine Land funding that has been distributed in the past, and will continue to be distributed annually through at least fiscal year 2035, funding under the Bipartisan Infrastructure Law may be used to design, build, operate, maintain, and rehabilitate acid mine drainage facilities that are not in conjunction with a Priority 1 or Priority 2 site. However, States and Tribes may not place a portion of their Bipartisan Infrastructure Law funding into acid mine drainage set-aside accounts.",,NOFO Open in June 2023,https://sam.gov/fal/60649622afbf4c939bfbc6521a96d644/view,BIL,
pollution,Remediation and reduction of legacy pollution,doi,".stateGov, .tribal",Grants For States And Tribes For Voluntary Restoration,Department of the Interior,Office of the Secretary,"$400,000,000",,"Funding is available until expended for the total amount across the entire Program ($905 million), but portions of the total are allocated to specific fiscal years, each with a different period of availability.",Grant,Yes,"State, Tribal","Grant programs to States, territories of the United States, and Tribes for implementing voluntary restoration projects on private or public lands.",Restoration projects on private or public lands,,Only Round of Funding Allocated / Selections Announced in November 2023,https://energycommunities.gov/funding-opportunity/bil-provision-grants-for-states-and-tribes-for-voluntary-restoration/,BIL,
climate,Climate Change,doi,".stateGov, .tribal, .localGov",Contracts And Agreements For Restoration On Federal Lands,Department of the Interior,Office of the Secretary,"$50,000,000",,"Funding available until expended for total amount across entire Program ($905 million), but portions of the total are allocated to specific fiscal years, each with a different period of availability",Contracts and Agreements,Yes,"Federal, State, Local, Tribal, Non-governmental Organizations","Contracts for ecological health restoration, to be enacted on no fewer than 10,000 acres of Federal land, including Indian forest land or rangeland","Entering into contracts, including stewardship contracts or agreements, to restore ecological health on Federal land, including Indian forest land or rangeland and for salaries and expenses associated with preparing and executing those contracts.",,Additional Round of Funding Allocated / Selections Announced in June 2023,http://www.doi.gov/grants/grant-programs,BIL,
pollution,Remediation and reduction of legacy pollution,doi,.other,Direct Federal Spending (Or Other) For National Revegetation Strategy,Department of the Interior,Office of the Secretary,"$70,000,000",,"Funding available until expended for total amount across entire Program ($905 million), but portions of the total are allocated to specific fiscal years, each with a different period of availability",Direct Federal Spending,Yes,Federal,Funding to implement a national revegetation effort on private and public lands,"Programs and projects to implement a national revegetation effort on Federal and non-Federal lands, including to implement the National Seed Strategy for Rehabilitation and Restoration.",,FY23 Project Selection Announcement occurred in April 2023,http://www.doi.gov/priorities/investing-americas-infrastructure/ecosystem-restoration/projects,BIL,
transportation,Clean Transportation,doi,.other,Direct Federal Spending For Resilient Recreation Sites,Department of the Interior,Office of the Secretary,"$45,000,000",,"Funding is available until expended for total amount across entire Program ($905 million), but portions of the total are allocated to specific fiscal years, each with a different period of availability.",Direct Federal Spending,Yes,Federal,"Funding to improve resilience of recreation sites on Federal lands, including Indian forest or range lands.","Projects to restore, prepare, or adapt recreation sites on Federal land that have experienced or may likely experience visitation and use beyond the carrying capacity of the sites.",,FY23 Project Selection Announcement occurred in April 2023,http://www.doi.gov/priorities/investing-americas-infrastructure/ecosystem-restoration/projects,BIL,
pollution,Remediation and reduction of legacy pollution,doi,.other,Direct Federal Spending for Revegetation of Mined Lands,Department of the Interior,Office of the Secretary,"$100,000,000",,"Funding available until expended for total amount across entire Program ($905 million), but portions of the total are allocated to specific fiscal years, each with a different period of availability",Direct Federal Spending,Yes,Federal,Funding to restore native vegetation and mitigate environmental hazards on mined public or private lands.,Projects to restore native vegetation and mitigate environmental hazards on mined Federal or non-Federal lands.,,FY23 Project Selection Announcement occurred in April 2023,http://www.doi.gov/priorities/investing-americas-infrastructure/ecosystem-restoration/projects,BIL,
pollution,Remediation and reduction of legacy pollution,doi,.other,Good Neighbor Agreements with States and Tribes,Department of the Interior,Office of the Secretary,"$40,000,000",,"Funding available until expended for total amount across entire Program ($905 million), but portions of the total are allocated to specific fiscal years, each with a different period of availability",Good Neighbor Agreements,Yes,N/A,"Program for State and Tribes to implement restoration projects on Federal lands pursuant to ""Good Neighbor Agreements""",Restoration projects on Federal lands,,FY23 Project Selection Announcement occurred in April 2023,https://www.blm.gov/policy/im-2022-023,BIL,
pollution,Remediation and reduction of legacy pollution,doi,".stateGov, .tribal, .localGov",Working Capital Fund,Department of the Interior,Office of the Secretary,"$100,000,000",,"Funding available until expended for total amount across entire Program ($905 million), but portions of the total are allocated to specific fiscal years, each with a different period of availability",Working Capital Fund,Yes,"Federal, State, Local, Tribal, Non-Governmental Organization",Working Capital Fund in support of contracts to restore ecological health on Federal lands,Establishing a Working Capital Fund that may be accessed by the Secretary of the Interior or the Secretary of Agriculture to fund requirements of contracts to restore ecological health on Federal lands.,,To be determined,https://www.hud.gov/program_offices/public_indian_housing/programs/ph/capfund,BIL,
climate,Climate Change,doi,".biz, .tribal",Department of Interior Wildfire Management - Burned Area Rehabilitation,Department of the Interior,Departmental Offices,"$325,000,000",,Funding available until expended (but portions made available by fiscal year),"Direct Federal spending, possibly Interagency Agreement(s), Cooperative Agreement(s), Contract(s)",No,"Federal Agencies, Tribal Governments, and Businesses",To mitigate the damaging effects of wildfires and set landscapes on a path towards natural recovery and climate resilience through post-fire restoration and rehabilitation activities.,Post wildfire restoration activities that are implemented not later than 3-years after the date a wildfire is contained.,,Additional Round of Funding Allocated / Selections Announced in July 2023,http://www.doi.gov/wildlandfire/burned-area-rehabilitation,BIL,
